,Unnamed: 0,nama,komentar,rating,kelas
0,0,Adikrisna,"Admin responsif mantap, untuk barang memang ada harga ada barang, tapi overall sip!",5,Sangat-baik
1,1,Adhan,"laptop agak cepet panas, barang lengkap semoga awet",5,Sangat-baik
2,2,Heri,"Untuk pemakaian kerja ringan seperti mengetik dan browsing perangkat ini sudah sangat memadai, boleh dikatakan lebih dari cukup. Pengiriman cepat sampai, terimakasih sell... ",5,Sangat-baik
3,3,oca,makasiiiii,5,Sangat-baik
4,4,A***d,Bagus,5,Sangat-baik
5,5,j***o,mantapppp,5,Sangat-baik
6,6,nurmala,pelayanan nya ramahâ¤,5,Sangat-baik
7,7,Jannatun,"Saya beli untuk anak. Dan anak pun suka. Mudah dioperasikan, bahannya bagus. Top!",5,Sangat-baik
8,8,wegig,"bagus produknya, dan sesuai untuk pekerjaan2 yg tidak membutuh aplikasi yg berat2...",5,Sangat-baik
9,9,P***u,Ketika barang sampai saya merasa puas sebab barang benar-benar mulus. Ekspektasi terhadap chromebook membuat saya sangat antusias. laptop juga tidak terkesan murahan. goo... ,5,Sangat-baik
10,10,Arif,ManTRAPS,5,Sangat-baik
11,11,N***m,Mantaap kualitas bagus barang cepat nyampe juga,5,Sangat-baik
12,12,C***s,Terima kasih,5,Sangat-baik
13,13,Julfandes,"Puas banget sama pelayannya, returnnya juga mudah dan tidak dipersulit. Baru pertama kali beli laptop eh kena Hot Pixel, untung masih bisa direturn dengan syarat vido unb... ",5,Sangat-baik
14,14,Tentra,"Bekerja dengan baik laptopnyaâ€¦ lalu untuk packaging aman, cm mgkn buat ke depannya bs lebih tebal lagi wrap nya. Ketika barang sudah sampai kalau bs ada bukti foto yang n... ",5,Sangat-baik
15,15,F***e,"tidak menyesal beli di toko ini.. : 1. respon cepat 2.barang di pack rapi dan di buble wrap 3.brg mulus tiba di buyer 4.utk kualitas brg: performa bagus, bentuk compact,... ",5,Sangat-baik
16,16,Sapto,Semoga awet. Mantap.,5,Sangat-baik
17,17,kinderjoy,Value for money,5,Sangat-baik
18,18,ahdiyat,"Sempat kena drama keluh kesah belanja online, tapi seller sangat responsif menyelesaikan masalah gak pake ribet. Untuk pelayanan, top notch juara pisan. Kalo laptopnya g... ",5,Sangat-baik
19,19,adiptawf,Proses cepat,5,Sangat-baik
20,20,I***a,"Sesuai ekspektasi. Performanya lancar jaya walaupun chipsetnya, ya tau sendiri lah. Secara keseluruhan memuaskan, walaupun minusnya mungkin di speaker yang kurang bisa le... ",5,Sangat-baik
21,21,Adam,Produk nya berkualitas.Â Produknya recommended dan berkualitas!.Â Produk mantap..Pengiriman juga cepat.. Packing aman Jaya..Terima kasih bos.. Sukses selaluğŸ™ğŸ™ğŸ‘ğŸ‘,5,Sangat-baik
22,22,Woen,"Build quality bagus, performa utk chromebook kencang, desain lumayan, seller komunikatif",5,Sangat-baik
23,23,Antonio,Ini adalah pertama kalinya saya beli chromebook. Berawal dari review gadgetin ttg benda satu ini dari toko satu ini lalu david gadgetin bilang buat apa beli laptop mahal... ,5,Sangat-baik
24,24,r***a,"sudaah sampaii niihh, suka bgt smaa kakanyaaa sabarr ngadepin chat aku ehehe besttt bgtt dehh terimakasiih puass bgtt ğŸ¥°ğŸ¥°",5,Sangat-baik
25,25,H***l,"bagus, mulus gak ngelag, ringan",5,Sangat-baik
26,26,Tegar,"barang oke , recommended seller",5,Sangat-baik
27,27,Samuel,â¤ï¸â¤ï¸,5,Sangat-baik
28,28,Siti,"Mantap min, paket sampai dengan aman. Sesuai ekspektasi.",5,Sangat-baik
29,29,e***a,Barang datangnya cepet sekali. Sudah sampai dan langsung dipakai buat kerja. Ini laptop harga 1jtan tapi cepet banget dibandingkan laptop windows 5jtan saya ğŸ‘ğŸ»,5,Sangat-baik
30,30,N***a,"sampai dengan amann, gercep banget utk seller dan ekspedisinya. langsung di proses dan langsung sampai. paket juga aman",5,Sangat-baik
31,31,Ridho,Sesuai ekspektasi,5,Sangat-baik
32,32,Adityo,"cocok untuk orang yang bener"" tau tujuannya beli laptop ini untuk apa ğŸ˜ğŸ™",5,Sangat-baik
33,33,I***d,sesuai ekspektasi... kirain pakai wifi rumahan g bisa ternyata bisa....ITS ok lah,5,Sangat-baik
34,34,Moh,ok good,5,Sangat-baik
35,35,Yoanfara,"Alhamdhulillah bgs barangnya video unboxingnya menyusul, overall bgs cocok utk kerja edit tipis dan foto, makasih gan ğŸ˜ğŸ™ğŸ‘",5,Sangat-baik
36,36,Aning,"untuk crhome book harga segini lumayan lah, cuma kesan pertama agak panas aja.",5,Sangat-baik
37,37,Yuliyanti,"mantap performa keren. wuzz, build Quality kalau merk hp mah gk usah di ragukan lah",5,Sangat-baik
38,38,Daru,"Barang sesuai pesanan, barang Ori disertai dengan Garansi 1 tahun, sistem berjalan dengan baik, terima kasih",5,Sangat-baik
39,39,A***f,"barang bagus, pengiriman cepat.",5,Sangat-baik
40,40,Lkp,ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘,5,Sangat-baik
41,41,Priyo,"Entah kenapa pengiriman berkendala. Kemasan cukup baik. Produk sesuai deskripsi, berfungsi dg baik ğŸ‘",5,Sangat-baik
42,42,Handoko,Alhamdulillah barang sesuai pesanan mudah mudahan awet bisa buat kerja dan nonton jangka lama,5,Sangat-baik
43,43,K***k,Packing cukup aman pakai bubblewrap. Barang oke untuk harganya tinggal penyesuaian penggunaan. Port usb a dan usb c cukup banyak untuk kelasnya. Baterai irit. Performa bu... ,5,Sangat-baik
44,44,F***z,alhamdullillah,5,Sangat-baik
45,45,A***p,mendarat dengan selamat,5,Sangat-baik
46,46,P***i,"bagus rekomeded DECH seller ini ,, fast respon dan respect banget terimakasih kak seller next beli lagi di toko ini selalu amanah ya terima kasih",5,Sangat-baik
47,47,Delviadi,,5,Sangat-baik
48,48,Oki,,5,Sangat-baik
49,49,A***a,,5,Sangat-baik
50,50,R***a,"Tidak cocok untuk mahasiswa, itu aja",4,Baik
51,51,D***i,cocok buat kebutuhan office. ada kendala minus belum dapat mouse tapi segera diproses buat pengirimannya. lebih rekomen pakai ms office online daripada install aplikasi.,4,Baik
52,52,rian,barang bagus peking nya aman,4,Baik
53,53,Arif,"Sempat dikirim barang yang bermasalah, akhirnya di retur dan dikirim yang baru, agak bikin males karna harus nunggu lama lagi, no bonus, Semoga Awet.",4,Baik
54,54,f***i,cukup bagus,4,Baik
55,55,Muhammad,Barang sudah di Terima kemarin. aman..,4,Baik
56,56,Ika,Ada kendala sedikit. Kurang dicek kelengkapan barang ketika dikirimkan. Mohon di upgrade pelayanan nya.,4,Baik
57,57,M***M,"oke.. pemakaian enteng cukup oke, tapi sayang cuma bisa buka 2 akun saja nggak bisa lebih butuh bibit tanaman cek ""Agro Bibit Sentosa""",4,Baik
58,58,wedhy,kondisi layar tidak normal ada bagian putihÂ² disetiap sudut,4,Baik
59,59,F***r,mantap gannğŸ‘ğŸ»,4,Baik
60,60,Agus,"Paket sdh diterima dg baik, berjalan normal. Hanya bagian sudut2 layar ada cahaya putih spt pernah tertekan layarnya.",4,Baik
61,61,H***a,"Seller gercep & responsif. Packing plastik tanpa lapisan bubble wrap. ğŸ˜” Bundle normal = Bundle FS, tanpa ms office hanya beda harga ğŸ˜© 160 GB = 32 GB E-mmc + 128 GB... ",4,Baik
62,62,B***g,pengiriman cepat & packing aman,4,Baik
63,63,A***i,"Begitu ada kendala, langsung direspon dengan baik oleh penjualnya",4,Baik
64,64,Dwi,"alhamdullilah brng nya bgus sih,,tp pngiriman nya agak lama,,,tlng kdpn nya LBH baik lg dan respon nya jga LBH cpet.",4,Baik
65,65,Vivien,Diberi 4 bintang karena masih menunggu free mouse yang tidak dikirim bareng laptop.,4,Baik
66,66,Priyanto,kurang optimal..,4,Baik
67,67,S***r,"Performa nya lumayan untuk dipakai kerja ringan seperti mengetik, build quality agak kurang di touchpadnya yang kurang solid, overall sesuai harga untuk tokonya bintang... ",4,Baik
68,68,Efien,papan mouse kalau ditekan ada bunyi,4,Baik
69,69,Rangga,pengiriman cepat,4,Baik
70,70,aditia,lumayan,4,Baik
71,71,A***i,kecewa sama pelayanan toko... Janji jumat bisa pickup baru sabtu diproses pickup.. Hasilnya saya harus ambil barang di gerai karena dibutuhkan hari itu jg. Lain kali Lai... ,4,Baik
72,72,Eric,Seller cepat respon dan kirim Overall barang bagus.. Setelah dicek online katanya Battery tahan sampe 10 jam.. Tapi blm coba.. Cuman pas di tanyain tas nya katanya lagi... ,4,Baik
73,73,aditia,lumayan,4,Baik
74,74,A***i,kecewa sama pelayanan toko... Janji jumat bisa pickup baru sabtu diproses pickup.. Hasilnya saya harus ambil barang di gerai karena dibutuhkan hari itu jg. Lain kali Lai... ,4,Baik
75,75,Eric,Seller cepat respon dan kirim Overall barang bagus.. Setelah dicek online katanya Battery tahan sampe 10 jam.. Tapi blm coba.. Cuman pas di tanyain tas nya katanya lagi... ,4,Baik
76,76,attha,"paket datang tanpa ada packing kayu, padahal isinya barang elektronik, buat kedepan nya tolong di packing kayu, karna biaya proteksi nya lumayan mahal kalo hanya packing... ",3,Biasa
77,77,R***y,"Laptopnya ga pernah smp k tgn sy, ktnya krm pake kurir toko tau2 bermasalah dan ga pernah terima brg",1,Sangat-buruk
78,78,toni,payah,1,Sangat-buruk
79,79,Ameyraa,"Sudah ajukan complain di tolak dengan alasan pesanan sudah selesai, pd hal sudah sesuai arahan buat video unboxing pada saat barang di terima SD-2-0HY7BBUNJSVSNXOYO3KC",1,Sangat-buruk
80,80,Hasan,,1,Sangat-buruk
81,81,B***i,"kurir nya tlg di tegur , kl Naro brg jgn asal taro aja apalagi isi nya laptop , dah d info ke toko kl sy ga ada d rmh , minimal itu kurir telp dlu ..kl brg itu d curi ora... ",2,Buruk
82,82,A***e,bisa diberikan penjelasan bahwa laptop tidak bisa install Microsoft Office.,2,Buruk
83,83,jeffry,barang yg pertama dibagian bawah warna agak buram. barang yg kedua tidak plastik transparan yg menempel pada bagian atas chromebook. saya merasa barangnya seperti bukan b... ,2,Buruk
84,84,Andhi,,2,Buruk
85,85,Dewantara,gak dpt cashback 500rb hemmm,3,Biasa
86,86,Hansen,"Produk bagus garansi resmi, sayang pelayanan masih kurang, pesan minggu janji senin dikirim, ternyata selasa dikirim rabu sampainya, padahal paket JNE YES",3,Biasa
87,87,M***n,"+ produk mulus tersegel dan berfunsi dengan baik - pelayanan seller kurang memuaskan, pesan jumat, dikirim senin malam. Seharusnya jika tidak bisa kirim hari jumat, bilan... ",3,Biasa
88,88,S***l,pengiriman lambat,3,Biasa
89,89,Nurul,Barang bagus sesuai dengan deskripsi produk,5,Sangat-baik
90,90,Rahadian,"packing rapih dan aman, laptop berfungsi baik, pelayanan cepat",5,Sangat-baik
91,91,Mulyadi,Alhamdulilah barang tiba dengan cepat.. barang ok,5,Sangat-baik
92,92,Titiek,sudah di terima dengan baik dan sesuai. hanya terkendala di pengiriman yg cukup meresahkan dan lama. karena tracking tidak jalan. but overall jkt - bali aman. pakai asura... ,5,Sangat-baik
93,93,sophia,mmmmmmmmmaaaaaaaaannnnnnnnnnnntttttttaaaaaabbbbbbbbb,5,Sangat-baik
94,94,I***n,"datengnya cepet dan barang'nya original, fast respon, official store emang the best",5,Sangat-baik
95,95,Deannissa,"Pengirimannya cepat, walaupun pakai yang reguler. Packaging aman, anti basah padahal udah deg2an musim hujan. Desain laptopnya bagus, simple but elegant. Dapet tas laptop... ",5,Sangat-baik
96,96,B***y,Puji Tuhan barangnya sudah diterima malam ini juga jam 10mlm. toko responsif. semoga bermanfaat utk anak saya dlm pendidikannya. utk pak Suwandi driver grab semoga sehat... ,5,Sangat-baik
97,97,A***w,Laptopnya oke ğŸ‘ specs sesuai .. setelah pemakaian 3 Minggu lancar jaya ..,5,Sangat-baik
98,98,N***i,good pokonya recommended bgt nih laptop pesan tadi siang jam 6 sore sampai. respon cs sangan baik n sabar .kurir cepat good pokonya,5,Sangat-baik
99,99,Asep,keren si... mantappppppppppppppppppppp dahhh gk diragukan lagi... keren keren keren,5,Sangat-baik
100,100,Elwimetri,overall good... recommended sellers... thanks alot,5,Sangat-baik
101,101,Captaw,"Original, berfungsi dengan baik, Windows OHS ori, dapat free tas dan cashback gopay...",5,Sangat-baik
102,102,G***a,pengiriman cepat barang sampai dengan aman,5,Sangat-baik
103,103,P***i,"Pengiriman barang agak lambat karena ada dibatalkan oleh kurir ekspedisi, pengecekan dan review kualitas barang menunggu penerima balik dari tugas luar kota.",5,Sangat-baik
104,104,A***e,"kerasa kualitasnya, desain nya mewah, dll",5,Sangat-baik
105,105,Hermawan,barangnya bagus smga awet,5,Sangat-baik
106,106,e***a,Barang cepat sampai. Dapet discount. Jauh lbh murah,5,Sangat-baik
107,107,D***y,Packing rapi dan barang sampai dengan selamat mantap ğŸ‘ğŸ¼ğŸ‘ğŸ¼,5,Sangat-baik
108,108,K***k,"masyaallah... barangnya bner bner gress, tanpa ada cacat sdkitpun, smpet degdegan juga sih krna tkt trjdi hal apa, tapi alhmdulillah barang slmat smpai k tangan,, smoga... ",5,Sangat-baik
109,109,kembar,Mantap,5,Sangat-baik
110,110,A***s,Alhamdulillah mantul dikirim dengan cepat dan selamat. terima kasih bisa dipakai semoga awet. thank you toped dan antaraja,5,Sangat-baik
111,111,S***a,Great lappie with reasonable price. Spectacular!,5,Sangat-baik
112,112,Eric,"Diprosesnya cepat, pengantarannya juga cepat & lancar, customer service cepat responsenya.",5,Sangat-baik
113,113,M***r,"Barangnya cepat diterima dengan kondisi baik, terlebih produknya sesuai dengan harapan. Terima kasih ya",5,Sangat-baik
114,114,F***l,"laptop yang murah tapi mantap. Sayangnya pengiriman instan ternyata baru tiba 7 jam sejak dipesan, karna seller lama komfirmasi ordernya.",5,Sangat-baik
115,115,B***V,Baru pertama beli di toko ini . Seller fast response. Langsung diproses. Recommended seller. Semoga awet barangnya. Terima kasih,5,Sangat-baik
116,116,Joice,rekomendasi banget,5,Sangat-baik
117,117,devdan,barang bagus. selamat sampai tujuan. cuma agak ribet di bagian daftar emailnya.,5,Sangat-baik
118,118,Rika,"overall semua berfungsi normal, windows+office, desainnya jg bagus recommended bgt buat kerja2 kantoran",5,Sangat-baik
119,119,R,"Packaging rapi dan aman, barang sesuai ekspektasi, mulus tanpa cacat, berfungsi dengan sejauh ini. Agak lambat performanya, bisa di maklumi karena intel celeron.",5,Sangat-baik
120,120,B***i,sippp mantabbb... paking aman... barang mulus...desainya bagus.... berfungsi dengan baik...semoga awet...,5,Sangat-baik
121,121,Andi,Terbaik,5,Sangat-baik
122,122,Agung,mantap,5,Sangat-baik
123,123,I***l,barang nya sampai dengan selamat. semoga awet,5,Sangat-baik
124,124,Agustina,"Alhamdulillah paket sampai dengan selamat, pengirimannya cepat. Tampilan ok",5,Sangat-baik
125,125,Putra,Terima kasih pesanan sudah sampai sangat cepat sekali dan terima kasih kurir nya sangat ramah sekali,5,Sangat-baik
126,126,umi,Packing rapi. pengiriman cepat,5,Sangat-baik
127,127,Clay,Pengiriman cepat dan aman. Semoga awet.,5,Sangat-baik
128,128,D***i,Keren. Price for value banget. Dapat windows 11 and office.,5,Sangat-baik
129,129,ASP,"sesuai deskripsi, kualitas baik, original",5,Sangat-baik
130,130,yan,"pengiriman aman sekali, mantap, admin ramah",5,Sangat-baik
131,131,Kevin,"barangmya bagus, pengiriman cepat",5,Sangat-baik
132,132,M,,5,Sangat-baik
133,133,Ninik,,5,Sangat-baik
134,134,NOVARIA,,5,Sangat-baik
135,135,S***i,,5,Sangat-baik
136,136,Sahrul,,5,Sangat-baik
137,137,R***n,,5,Sangat-baik
138,138,Tatan,,5,Sangat-baik
139,139,Taufik,baru dicoba ON belum dijelajahi....oh enteng bener ya dibawa ke kampus tidak menjadi beban,4,Baik
140,140,Cecep,product ori dan sesuai display,4,Baik
141,141,R***a,"puas banget sama pelayanan toko nya, barangnya juga bagus banget. cuman agak kecewa sama pihak ekspedisi, mudah mudahan kedepannya ga gitu lagi..",4,Baik
142,142,fatma,"packing bagus, barang ori, dapat tas laptop jg cuma pengiriman sempat terhambat jd melebihi batas waktu. harus setting online pas pertama nyalain",4,Baik
143,143,P***i,"lumayan cepet datengnya, pengemasan lumayan aman pakai bubble wrap nya lumayan tebel, btw thank you",4,Baik
144,144,fictor,Mmhh pengiriman aga lama mungkin karna lagi bersamaan sama libur paskah.. dus luarnya penyot2 takutnya barang rusak. Untungnya dus laptop di bungkus rapat aman dan baik..... ,4,Baik
145,145,R***a,"ok, barang mulus",4,Baik
146,146,A***g,"Pengiriman cepat, packing laptopnya rapi rapet masih gress... Cuma kardus luarnya kebuka kurang rapet lakbannya.",4,Baik
147,147,Sahid,"alhamdulillah paket datang tepat waktu, maaf telat kasih ulasannya. produk original, karena dari official HP langsung. packing sebetulnya sudah bagus, tapi karena dibawa... ",4,Baik
148,148,D***N,"baru 1 hari wifi ga terdeteksi, part WLAN rusak, kl penanganan di service center ga sesuai harapan, bintang 1 deh dan ga akan lagi beli produk hp.",3,Biasa
149,149,Dody,"pengiriman sangat lama, hampir sebulan baru barangnya tiba, dusnya sampe udah penyok. respon adminnya sangat baik, tapi jasa kurirnya yg mungkin harus diperhatikan.",3,Biasa
150,150,,,3,Biasa
151,151,,,3,Biasa
152,152,,,3,Biasa
153,153,,,3,Biasa
154,154,,,3,Biasa
155,155,,,3,Biasa
156,156,,,3,Biasa
157,157,Rajiman,"Barang bagus ,admin nya kaku cuman balas pake format copy paste. Packing laptop tidak ada tambahan kayu dan beresiko",2,Buruk
158,158,Jovi,,2,Buruk
159,159,Muhammad,"Barangnya ok, tapi Customer Servicenya merendahkan saya. Sampe nyuruh beli Core i5 kalo mau cepet... coba atasan/timnya baca chat dgn saya yg lengkap, akan ketauan.",1,Sangat-buruk
160,160,Fachrur,"Office nya cuma berlaku beberapa hari dan saya dilempar2 utk telfon sana sini dan TIDAK MEMBANTU, suruh tunggu 4-5 hari kerja sementara office nya cuma berakhir 2 hari la... ",1,Sangat-buruk
161,161,Benny,,1,Sangat-buruk
162,162,f***d,,1,Sangat-buruk
163,163,M***d,"Fast respon dan barang bnib, sy sdh beberapakali belanja di toko ini dan tidak pernah mengecewakan",5,Sangat-baik
164,164,Yovinus,"Mantap Jiwa deh pokoknya, aktif ngebalas, dan sellernya ramah",5,Sangat-baik
165,165,A***i,best cepet banget pesen jam 1 sore jam 5 sampe,5,Sangat-baik
166,166,E***h,barangnya okee pengiriman jg cepat krn pake instant. sayangnya segel box laptop udah kekupas sedikit dan box penyok (bukan kesalahan kurir) garansi di website apple sisa... ,5,Sangat-baik
167,167,Anessa,"mantulll... pengiriman cepat, ke papua kurang dari 1 minggu. barang aman meski cuma pake bubble wrap. barang ori. chat seller responsif. recomended seller ğŸ‘",5,Sangat-baik
168,168,M***z,"seller fast respond, macbook nya garansi blm jalan packingnya jg aman karna pake packing kayu",5,Sangat-baik
169,169,R***d,Brg sesuai pesanan ğŸ‘ğŸ¼,5,Sangat-baik
170,170,H***z,Barang baru sesuai dengan informasi,5,Sangat-baik
171,171,Young,Bagus banget udah 2 buln di pakai gada kendala,5,Sangat-baik
172,172,H***i,"seller sangat responsif saat ada pertanyaan merupakan nilai plus. Barang mulus, cycle count baru 6 dan masih dapat garansi sampai oktober 2023",5,Sangat-baik
173,173,L***d,"kualitas sangat bagus dan sesuai, barang baru dan masih garansi, meskipun barang cpo namun semua berfungsi dengan baik seperti baru, seller pro aktif",5,Sangat-baik
174,174,M***i,cepat. kirim.ke jogja aman gak ada yg penyok karena full bubble dan tercover kadus dari toko. jadi kardus apple aman. barang juga aman,5,Sangat-baik
175,175,Flinn,"Pengirimin cepat, walaupun plastik segel terbuka sedikit namun setelah di cek laptop original dan aman.",5,Sangat-baik
176,176,L***y,ğŸ«¶ğŸ»ğŸ«¶ğŸ»ğŸ«¶ğŸ»ğŸ«¶ğŸ»ğŸ«¶ğŸ»ğŸ«¶ğŸ»,5,Sangat-baik
177,177,Fandhy,"macbook m1 2020 inter, kualitas oke",5,Sangat-baik
178,178,A***y,Mantaappp produknya original dan sesuai. Proses pemesanan cepat dan dipacking pake bubble warpnya aman sekali. Terimakasih!!,5,Sangat-baik
179,179,Jenshiang,"mantep lah, tapi belum seminggu beli udah diajak kecelakaan sama yang punya ğŸ¤£",5,Sangat-baik
180,180,Gilang,"Packing tebel, mantap semoga maxwin gan",5,Sangat-baik
181,181,Hilarius,barang segel mantap,5,Sangat-baik
182,182,M***d,Walaupun box ada sedikit penyok tapi unit aman dan penjual sangat responsif dan komunikatif,5,Sangat-baik
183,183,Yudha,"Respon nya sangat baik, so far blm ada kendala ya di laptopnya . Sukses !",5,Sangat-baik
184,184,kinoy,"setelah seminggu lebih pemakaian tidak ada masalah, admin juga fast respon. pengiriman cepat",5,Sangat-baik
185,185,Z***h,barangnya mulus seperti baru,5,Sangat-baik
186,186,s***a,Thank you for your job) All is good!),5,Sangat-baik
187,187,B***s,Pengiriman cepat dan aman walau ketika datang kondisi kotak sedikit penyok di salah satu sudut kotak. Namun kondisi macbook masih aman. Bonus hardshell case dan keyboard... ,5,Sangat-baik
188,188,M***a,"Produk sampai dengan selamat, keren behh...",5,Sangat-baik
189,189,Nenden,So far super satisfied,5,Sangat-baik
190,190,S***s,Pembelian ketiga dari toko ini. Semuanya memuaskan. Kali ini bonus langsung dikirim bersama macbooknya. Thanks,5,Sangat-baik
191,191,mohammad,"seller sangat responsif, pengemasan dan pengiriman sangat cepat, barang bnib dan berfungsi dengan baik, mantapğŸ‘ğŸ»",5,Sangat-baik
192,192,R***y,pelayanan dan barang oke bgttt,5,Sangat-baik
193,193,Ardyan,Baru dibuka dan normal jaya semuanya.,5,Sangat-baik
194,194,Sulthoni,"Pengiriman cepat, packing tebal walau luar kota tetap aman, barang ori. admin nya juga fast response, ga salah pilih toko ini. smoga usahanya makin lancarr",5,Sangat-baik
195,195,N***l,"Puji Tuhan barang aman dan ori ğŸ’¯%, sudah di cek serial numbernya dan terdaftar walaupun garansinya sudah berjalan kurang lebih sebulan, tapi gapapa karena dapet cashback... ",5,Sangat-baik
196,196,Muhammad,Udah langganan beli produk apple disini. Packing cepat dan seller responsive. Semoga produknya awet yaaa. Pelayanan after salesnya semoga baik juga. Thank you seller,5,Sangat-baik
197,197,Nakzim,"Sampainya cepat, packing aman dan tebal",5,Sangat-baik
198,198,Widitia,"Setelah beberapa hari pemakaian, ternyata bagus barangnya, ga ada masalah, sayangnya karena dipacking bareng airpods, box luarnya terlalu sempit, jadi penyok box macbookn... ",5,Sangat-baik
199,199,T***s,Mantap,5,Sangat-baik
200,200,P***a,"mantab,fast responce,recommended seller..",5,Sangat-baik
201,201,B***a,"Semuanya berfungsi dengan baik, saran aja sih adain contact Customer Service nya jika terjadi sesuatu dan ingin claim garansi",5,Sangat-baik
202,202,F***n,"Finally! Terealisasi jg beli mac disini. Makasi ya semoga awet, pelayanannya emang ga kaleng2, garansi aktif, Langsung dikirim dalam hitungan jam, cashbacknya mantep ni t... ",5,Sangat-baik
203,203,Feisal,mantaapp!!,5,Sangat-baik
204,204,M***d,"barang sesuai pesanan, seller ramah komunikatif, barang cepat sampai dan packing super aman. top lah.....",5,Sangat-baik
205,205,funstuff,"Mantap sehh...packing keren dan aman, respon saat chatingcepat",5,Sangat-baik
206,206,Kris,"Sudah terpercaya, Semoga ga ada kendala. Terima kasih admin",5,Sangat-baik
207,207,I***i,"Barangnya nyanpe dengan selamat, awalnya kirain dikirim pake box kayu, ternyata engga, pake bubble wrap, sedikiittt penyok dikit beberapa sisi, tapi untungnya dalemnya am... ",5,Sangat-baik
208,208,a***r,,5,Sangat-baik
209,209,Surya,,5,Sangat-baik
210,210,asriel,,5,Sangat-baik
211,211,K***a,,5,Sangat-baik
212,212,Oktavia,,5,Sangat-baik
213,213,ALI,Black peel nya macam di tempel balik hmmmm. Produk minta yg garansi blm aktif tp dikirim yg sudah aktif. Untung produk ok,4,Baik
214,214,B***n,Bagus aja,4,Baik
215,215,Nurdin,"Barangnya oke, asli apple MacBook, dicek garansi sesuai tanggal beli, hanya saja pengiriman kurang komunikatif adminnya dan driver grab instannya ganti2 terus sampai beso... ",4,Baik
216,216,Ayu,"Sesuai deskripsi, terimakasih bonusnya",4,Baik
217,217,J***n,"barang sangat bagus, cs juga responsif nanya apa dijawab, cm sebelum membeli saya nanya bonus hardcasenya ada ga, ktnya ada tp ketika sampai cm keyboard cover aja. overal... ",4,Baik
218,218,Shellshark,barang sesuai pesanan dan packing bagus,4,Baik
219,219,Ahmad,"pas pesen, tulisan di etalase nya available yang warna Gold, jadi pesan yang itu. tapi setelah check out, di chat kalo ternyata stock nya ngga ada. jadi diganti ke warna... ",4,Baik
220,220,A***a,"walaupun kardus nya penyok dari bawaan tokonya, lumayan lah :) barang oke aman.",4,Baik
221,221,E***a,"Barang bagus. Hanya, seller tidak memasang sign fragile di paket, sehingga kurir main lempar dan main ninggalin barang di gerbang tanpa ada konfirmasi, dikiranya batu bat... ",4,Baik
222,222,Cokorda,Baru kali ini beli laptop dan mahal secra online tp bener2 g diragukan toko ini Penjualnya sabaar bener sm pembeli yg awam ini,4,Baik
223,223,F***y,"ada sedikit penyok aja kardusnya, padahal udah packing kayu.",4,Baik
224,224,J***n,"Barang semua aman, tapi agak lama di pengiriman. Masih jabodetabek masa 3 hari:(",4,Baik
225,225,ravi,"Melayani pelanggan hingga malam, packing aman barang segel dan original, jadikan langganan belanja anda, recommended seller yg satu ini...",4,Baik
226,226,Xiunqxiunq,"Barang sampai dengan selamat, tapi kardusnya bonyok. Mungkin seller bisa bantu ingatkan utk tambah packing kayu di deskripsi biar buyer ga lupa. Mac nya berfungsi normal... ",4,Baik
227,227,F***n,"Barang sampai lebih cepat dari estimasi, barang ori, dan sudah di cek semua dalam kondisi tersegel, cmn bingung dengan cara packing nya hehe, kardusnya tidak padat, ter... ",4,Baik
228,228,Jaka,,4,Baik
229,229,Mrz,1. Box tetap penyok seperti ulasan pembeli yg lain pdhl udah ikutin instruksi 2. Ada tanda seru kuning di website cek serial numbernya (katanya sih gak masalah) 3. Ini si... ,3,Biasa
230,230,y***o,"Bonusnya belum dikirim,",3,Biasa
231,231,Bimo,,3,Biasa
