,nama,komentar,rating,kelas
0,e***i,semoga awet . barang mulus.,5,Sangat-baik
1,Muhammad,Mantabbbbbbbbbbbbbbbbbbbbbbb,5,Sangat-baik
2,D***i,"udah dicek, spek sesuai deskripsi dan sejauh ini semua fitur berfungsi. worthy banget sih harga affordable dan kualitas oke. semoga bisa awet jangka panjang. thank you",5,Sangat-baik
3,A***n,"Semoga awet amin, recommended.",5,Sangat-baik
4,R***K,Sesuai spek,5,Sangat-baik
5,Rina,"hallooo kak... mohon dibaca chatnya, maap itu tutup nya kemana ya?bisa dikirim ga tutup nya? khawatir kena air terima kasih",5,Sangat-baik
6,Haniv,"recommended ğŸ‘ğŸ‘,.",5,Sangat-baik
7,Budi,mantuuul,5,Sangat-baik
8,Warmsilo,"respon cepat, masih mulus juga.",5,Sangat-baik
9,Maulana,2x pesan barang yg dikirim mantap tidak mengecewakan dapat barang yg muluss battery bahkan kuat 5jam,5,Sangat-baik
10,Y***s,"bagusssss, semoga awetğŸ™‡â€â™‚ï¸ seller responsif, thank you jangan ragu beli disini guys, super recomendedğŸ¥³ thanks juga Pak Pos Indonesia",5,Sangat-baik
11,Achmad,"barang sudah sampai, barang sesuai dengan pesanan, di test lancar,internet jalan, ringan. thanks ya gan,,,,",5,Sangat-baik
12,Teguh,"dapet barang mulus banget, mantep lah pokok na",5,Sangat-baik
13,H***r,oke,5,Sangat-baik
14,D***e,"Murah tp ga murahan. Sempet maju mundur buat beli, karena ga pernah beli brg second (takut zonk) tp abis mikir2 kalo buat kerja data doang ngapain mahal2. Akhirnya berani... ",5,Sangat-baik
15,Rina,"hallooo kak... mohon dibaca chatnya, maap itu tutup nya kemana ya?bisa dikirim ga tutup nya? khawatir kena air terima kasih",4,Baik
16,M***d,lumayan bagus. hanya ad sdikit goresan di kesing. tapi tdk mempengaruhi performa,4,Baik
17,A***s,"Cukup mulus, cukup curiga setelah barang mendarat.bodi atas bagian engsel layar sebelah kanan terbuka, saya kira pecah ternyata tekniksi lupa mengencang semua baut. perfo... ",4,Baik
18,Gallan,"laptop aman normal, cuma adaptornya ada masalah",4,Baik
19,S***o,"pengiriman cepat, sesuai spesifikasi",4,Baik
20,E***a,"respon penjual cepat,jg membantu Krn kiriman yg lebih dr estimasi pengiriman.packin msh aman ,produk berjalan sesuai..msh bagus. thanks",4,Baik
21,H***n,"pembelian kesekian kalinya. pelapak sangat komunikatif, sangat bertanggung jawab siap ganti unit baru jika ada troble dan layanannya sangat cepat. pembelian kali ini mala... ",4,Baik
22,w***n,Barang sesuai dengan deskripsi,4,Baik
23,Asril,ok sih barangnya cuma agak kecewa krna tombol merah (trackpad) d tengahya ga ada,4,Baik
24,Erik,"Secara keseluruhan bagus , fungsi baik , btrai awet Tapi ada pinggir nya yg gak rapet",4,Baik
25,P***o,masih mulus dan sesuai Spec diiklankan,4,Baik
26,Amir,"leptop sesuatu deskripsi aman mulus dan bekerja, cuma kurang kepala charger aja tp amanlah gapapa",4,Baik
27,Aditya,oke udah direspon,4,Baik
28,A***n,"overall mantap dri sekian kali mesen di sini ok semua, untuk unit yang ini keren ,kurang di speaker aja kurang kenceng suaranya, sama chargernya pake sambungan bukan yan... ",4,Baik
29,M,barangnya sdh sampai sesuai harapan ğŸ‘ğŸ˜ tp terlambat dipengirimannya tp gak ap2 sich yg penting smpai barangnya ğŸ™ğŸ˜‡ğŸ¥°,4,Baik
30,F***h,"barang sudah dicek sementara belum ada kendala kondisi laptop bagus, minus kurir lambat.",3,Biasa
31,Ari,"Ada body laptopnya yang tidak terpasang dengan benar sehingga terlihat tidak enak, tetapi semua fungsi oke hanya sedikit kecewa dengan seller karena body laptopnya saja",3,Biasa
32,Ivan,barangnya mulus,3,Biasa
33,Edwardo,Salah satu rumah baut cover belakangnya slek* pas coba buat dikencengin tetep tidak bisa rapat. Jangan terlalu berharap sama barang second soal kondisi fisik. Fungsi aman... ,3,Biasa
34,Baut,"Di deskripsi katanya dapat sticker keyboard gratis, ternyata ga dikasih, di chat ssd katanya 2245 (2242) pas dibuka ternyata ssd 2,5""",3,Biasa
35,yusuf,Pengiriman,3,Biasa
36,Irfan,sesuai deskripsi. bintang 3 krn pengiriman doang agak telat,3,Biasa
37,Dio,"beli pertama puas, beli yg kedua, aplikasi tdk berfungsi dg baik",2,Buruk
38,Arie,Penjual kurang gercep sat set sat set,2,Buruk
39,i***n,"Barang tidak sesuai deskripsi, body ada retak dan kepala charher sompal",1,Sangat-buruk
40,R***a,"barang datang, bagian layar ada yang terbuka. akhirnya barang diretur. setelah diretur barang tidak langsung dikirim balik sampai 2 hari, itu pun harus diingatkan di chat... ",1,Sangat-buruk
41,L***o,kebanyakan trik.,1,Sangat-buruk
42,Tuki,"gw pernah beli notebook ini, tepatnya beli rongsokan seharga 5 jt, keyboard macet +-17 digit, habis di sleep pasti layar error! garansi sebulan apanya!!!, ditanya ""g... ",1,Sangat-buruk
