,komentar,rating,label
0,terkecoh banget sama variannya ternyata yang di klik 9a. bukan 9c. semoga awet deh ya hpnya. thx seller,4,positif
1,"Hp nya bagus. Tapi TG parah, sdh kotor di bagian lengketnya dari awal. Jd gak bisa dipake. Case nya kasar banget, mending case yg transparan aja sekalian. Padahal bayar l... ",4,positif
2,Pelayanan toko bagus. Hanya bagian pengiriman yg agak lambat,4,positif
3,Siip mantap,4,positif
4,"Produk original, pengiriman lumayan cepet. Belum di coba.. Tp looks ok nih.. Recommended seller.",4,positif
5,brg dh nyampe mulus g da cacat,4,positif
6,yang penting gercap barang aman k sipp,4,positif
7,pelyanan admin dan pengiriman sangat memuaskanBarangnya original ğŸ‘.Â Ada garansi resmi.,4,positif
8,"Pengiriman serta respon penjual cepat, tapi bonus nya tidak sesuai harapan; Order warna grey yg dikirim warna kemerahan stand holder nya malah jadi stand mic tempared gla... ",4,positif
9,Barangnya original ğŸ‘.Â Spesifikasi sesuai .Â Kelengkapan sesuai.Â Kemasan disegel.Â Warna sesuai pesanan.Â Berfungsi dengan baik.Â Barangnya mulus.Â Proses pesanan cepat.Â Packa... ,4,positif
10,Diterima dengan selamat meskipun ga dapet bonus apa2. Chat ga dibales2,4,positif
11,"HP sampai dgn cepat, dan kondisi baik... Terima kasih",4,positif
12,Ada garansi resmi.Â Barangnya original ğŸ‘.Â Kemasan disegel.,4,positif
13,Thanks yaaa fast responsğŸ™,4,positif
14,bgs tp bonusnya kurang bermanfaat,4,positif
15,"pengiriman cepat, seller responsif",4,positif
16,"barang semuanya ok, cuman bonus nya g dapat... dipostingan iklan nya katanya dapat aneka bonus tp g apalah yg penting HP nya sudah mendarat dgn selamat tks",4,positif
17,"Harusnya bisa bintang 5, tapi karena di sana ketulis ada bonus macem2 tp pas nyampe kaga ada 1 pun dapet apa2.",4,positif
18,pengiriman cepat barang sesuai,4,positif
19,barang sampai selamat sampai tujuan dengan waktu yang singkat dan owner fast respon. good job,4,positif
20,"Di gambar warna hitam, yg datang oren",4,positif
21,sangat puas belnja di toko ini,4,positif
22,barang sampai selamat sampai tujuan dengan waktu yang singkat dan owner fast respon. good job,4,positif
23,"Di gambar warna hitam, yg datang oren",4,positif
24,sangat puas belnja di toko ini,4,positif
25,,4,positif
26,gambar 9c yg dtg 9a ya sudahlah...,3,netral
27,5 hari (3 hari kerja) baru sampai. lama banget kirimnya,3,netral
28,"di foto dapet softcase, pas dikomplen, suruh milih gimana ceritanya, barang sesuai cuman GK gitu juga lah jualan",3,netral
29,barang bermasalah setelah bbrp hari,3,netral
30,kecewa pesen gift yg lengkap minus 1,3,netral
31,"sameday sehari sampai, sebelumnya chat tanya stok n promo sesuai keterangan produk, free kartu perdana, cek ternyata gak ada, harus buat video unboxing, lha belanja sejut... ",3,netral
32,"Barangnya original ğŸ‘.Â Spesifikasi sesuai .Â Warna sesuai pesanan.Â Packaging aman ğŸ™.Â .. cuman bungkusan luarnya basahğŸ¥º, tp untk HP nya masih aman",3,netral
33,"Moga2 aja barangnya awet, semoga",3,netral
34,bonusnya kurang 1 wkwk,3,netral
35,kirim nga sesuai warna ready grey blue kirim ya orange blue,2,negatif
36,"Mohon maaf seller bagus tapi bintang 2 buat kurirnya, melebihi estimasi dan status tracking tidak jelas, tgl 25-28 Jakarta-jateng tanpa keterangan. Karena saya pikir pak... ",2,negatif
37,"gk dapet softcase, padahal niat beli biar gk ribet uda lengkap.",2,negatif
38,kenapa kok yg datangnya 9A?? saya kan pesennya yg 9C...?? gx jelas... maaf ratingnya sy minuskn..,2,negatif
39,,2,negatif
40,,2,negatif
41,barang tidak datang....sampai sekarang. di komplain...malah di menangkan sama penjual,1,negatif
42,"sudah pilih pengiriman nextday, ternyata alhasil 5 hari barang baru sampai,",1,negatif
43,ty,1,negatif
44,"barang oke tapi judul anda ini loh menipu saya bos, emang salah saya kurang teliti cari toko",1,negatif
45,"awalnya ragu ada buyer lain komplain beli pake gift lengkap tapi dapatnya ga lengkap..(malah harganya lebih mahal untuk accesories standar), AKHIRNYA NGERASAIN KEKECEWAAN... ",1,negatif
46,Padahal sudah pesat gift lengkap tapi tidak ada softcase Di deskripsi tidak ada keterangan gift harus pilih tidak dapat semua. Pdhal nama varianya gift lengkap lucu aja.... ,1,negatif
47,Beda tipe bonus yg dikirim dgn foto yg ada di toko.,1,negatif
48,tidak sesui sama pesanan...judulnya tidak jelas dan menjebak pembeli,1,negatif
49,"Pengemasan agak lama, beli yg sama bonus stand hp dikasihnya stand mic dkira buat karoke ap ya ğŸ¤£ , bonus casing casingnya ga di kasih, popsocket pun gada kl gt ngapain b... ",1,negatif
50,versi berapa? tidak bisa donlod aplikasi tertentu,1,negatif
51,saya pesen yg 9c bukan 9A hadeeeeeeeeeeeeeeeeeeeeseeeeeeeeeeeeeeeeeee,1,negatif
52,repacking,1,negatif
53,official kok begini jual barang second tapi disegel ulang,1,negatif
54,BARANG BARU RASA SECOND ALIAS REPACK!!!,1,negatif
55,repack alias barang second baek2 yg beli disini,1,negatif
56,repack garansi ud lewat sebulan,1,negatif
57,repack garansi aktif sebulan ud lewat,1,negatif
58,"kualitas barang sesuai harga. pengiriman lama, 3 hari baru dikirim setelah konfirmasi pemesanan.",1,negatif
59,"katanya ada bonus sofcase, temperglas dll padahal saya sudah ingatkan sebelum pengiriman. ğŸ¤ª, saya minta dikirim lagi krn itu hak saya loh",1,negatif
60,Ternyata extra bonus nya cuma tipu tipu,1,negatif
61,ini knapa ya keder gua ktnya ada bonus kiranya klo gk ada bonus blng gak ada blang ada mna gak ada sue,1,negatif
62,"BONUS DI GAMBAR TIDAK SESUAI REALITA, BONUS NYA CUMA : TRIPOD , KARTU PERDANA, KANTONG ANTI AIR BONUS YANG PENTING : TAMPERGLASS dan SOFT CASE TIDAK ADA",1,negatif
63,"barang yg datang hanya unit HP, sedangkan gambar yg dipajang ada bonus macam2.",1,negatif
64,"katanya ada bonus sofcase, temperglas dll padahal saya sudah ingatkan sebelum pengiriman. ğŸ¤ª, saya minta dikirim lagi krn itu hak saya loh",1,negatif
65,Ternyata extra bonus nya cuma tipu tipu,1,negatif
66,ini knapa ya keder gua ktnya ada bonus kiranya klo gk ada bonus blng gak ada blang ada mna gak ada sue,1,negatif
67,"BONUS DI GAMBAR TIDAK SESUAI REALITA, BONUS NYA CUMA : TRIPOD , KARTU PERDANA, KANTONG ANTI AIR BONUS YANG PENTING : TAMPERGLASS dan SOFT CASE TIDAK ADA",1,negatif
68,"barang yg datang hanya unit HP, sedangkan gambar yg dipajang ada bonus macam2.",1,negatif
69,,1,negatif
70,,1,negatif
71,kotak nya agak rusak sedikit tpi mudah2an hp nya ga ppa blum di buka soal nya. dan kurir nya paket nya di titipin gak di anterin di rumah lumayan jauh juga ngambil paket... ,4,positif
72,"pengiriman cepat, barang sesuai pesanan mantuul",4,positif
73,ini pembelian kedua karena hape pertama ilang. hape kedua ini kayanya dapet gacha an:( batre nya boros pars dahal baru beli,4,positif
74,"barang nya da sampai untuk sementara puas, yang pasti kurir nya cepat bener",4,positif
75,"Masalah sms premium, tidak ada setting. Setelah factory reset bbrp kali, baru berhasil. pulsa terpakai 50 rb lbh",4,positif
76,"packing, waktu pengiriman standar",4,positif
77,jos,4,positif
78,"Mantap, order tadi pagi sekitar jam 10 an barang nyampe jam 13 an Belum buka total sih karna buat anak, biar buka sendiri terutama segelnya Puas dengan palayanannya",4,positif
79,Mantap,4,positif
80,Mantaaaab bos ğŸ‘ğŸ‘ğŸ‘ğŸ‘,4,positif
81,"Barang berfungsi dengan baik.Â Mudah digunakan.Â Packaging Aman.Â Kualitas sesuai harga.Â , dan respon seller rama banget udah berkali"" belanja di sini gak pernah kecewa.",4,positif
82,Barangnya original ğŸ‘.Â Kemasan disegel.Â Spesifikasi sesuai .Â Barangnya mulus.,4,positif
83,Barangnya original ğŸ‘.Â Kelengkapan sesuai.Â Spesifikasi sesuai .,4,positif
84,,4,positif
85,ada cahaya merah ditengah hp,3,netral
86,Thanks...ğŸ˜š,3,netral
87,pesen twilight dikirim biru ....,3,netral
88,"alhamdulillah, barang sudah sampai dan berfungsi semoga awet",3,netral
89,sering beli disini baru kali ini dapat repack sudah aktif dari january. next jika ada repack di infoin ya bos ğŸ™ udah jalan 1 bulan garansinya ini,2,negatif
90,barang rekondisi. sy kurang teliti belinya,2,negatif
91,hape 3 jutaan 3 tahun yg lalu. masih lebh baik dri hp ini. endorse youtuber untuk naikan barang. g sesuai ekpetasi. kalau mau ganti hp mending mikir lagi.,2,negatif
92,"Hp yang di beri hape bekas dan returan. beli baru 1 bulan riwayat penggunaan udh 6bulan dicek di service center, gak ada itikad baik dari seller malah disuruh service sen... ",1,negatif
93,"saya pilih dan centang pada aplikasi toped yg warnanya GREY, tapi yg dateng warna BIRU, saya minta tukar karena bukan kesalahan dari saya.. Dan saya ga suka warna cerah p... ",1,negatif
94,barang repack,1,negatif
95,siap Sdh diterima segel semoga TDK ada kendala kedepan.terimakasih seller,5,positif
96,Mantap,5,positif
97,mantap,5,positif
98,"pengiriman sehari langsung sampai, barang masih tersegel, Poco M4 PRO #POCOnyaBeraksi",5,positif
99,barang sampai dengan baik,5,positif
100,"Barang sesuai dengan deskripsi, kemasan bagus dan aman sampai tujuan, respon penjual cepat.",5,positif
101,Mantul ini mah.,5,positif
102,Barang masih segel Sesuai dengan pesanan Belum dicoba semoga berfungsi dengan baik,5,positif
103,"pengiriman sangat cepat, respon baik, recommended seller",5,positif
104,barang mantap respon cepat,5,positif
105,"Packing aman, barang masih tersegel, berfungsi dengan baik.",5,positif
106,"hp masih disegel, garansi resmi",5,positif
107,Produk bekerja dengan baik,5,positif
108,Pengemasan aman. Barang juga oke. Makasih seller,5,positif
109,top pengiriman cepat barang sesuai,5,positif
110,"mantap beli disini, pengirimannya cepat dan packingnya aman pakai dus ğŸ‘ğŸ˜",5,positif
111,keren barang nya,5,positif
112,"pelayanan toko bagus, Tokopedia bagus, cuma pengiriman lewat estimasi, terimakasih seller & Tokopedia.",5,positif
113,"Pengiriman cepat, Barang masih segel, kualitas bagus ... Semoga awet",5,positif
114,barang nya bagus sampai sekarang cuman takut aja update software katanya bikin lag dan sebelumnya pakai redmi note 7 lancar jaya abis update software malah tambah berat d... ,5,positif
115,sangat cepat respon nya dan kualitas bagus bungkus nya sangat rapih,5,positif
116,keren,5,positif
117,Alhamdulillah barang sudah sampai tak kurang suatu apapun,5,positif
118,good. konsumen suka..,5,positif
119,"sampainya cepet banget, barang oke, mantab deh pokoknya",5,positif
120,Barang berkualitas. bagus sy suka. Pengirimannya pake instant jadi cepat. Semoga awet dan lancar.,5,positif
121,barang diterima dengan baik. fungsi belom di coba. terimakasih,5,positif
122,Barang rapi tersegel saat sampai. belum sempat dipakai. semoga saja dengan Ram besar 8/256 hp ini akan awet. terimakasih seller...,5,positif
123,barang nya cepat sampaiğŸ˜ dan suka banget pakingnya rapih dan amanah ğŸ¥°,5,positif
124,barang bagus. manteplah,5,positif
125,aman banget packingnya. sampe cepat dan kualitas bagus sih. semoga tahan lama. gak nyesel belanja via tokped. semoga experience waktu makenya bagus,5,positif
126,barang official dari xiaomi pasti sudah terjamin aman,5,positif
127,Xiaomi Poco M4 Pro bagus ğŸ£,5,positif
128,"Packing ok, Pengiriman cepet banget... Barang berfungsi ..",5,positif
129,"mantap 3 hari test lancar gada kendala, seler fast respon banget, oke banget dah",5,positif
130,moga awet,5,positif
131,"barang tersegel dengan baik, packing aman, produk okeh sesuai deskripsi",5,positif
132,"bagus, berfungsi dengan baik dan aman bngt",5,positif
133,"barang masih trsegel, pgriman std barang mulus smoga awet",5,positif
134,,5,positif
135,"Barang sampai dengan aman, lumayan lah... baru nyalain udah panas",4,positif
136,"Terima kasih paket telah diterima dengan baik. Namun perlu ditingkatkan untuk proses ke pengirimannya, harusnya bisa jemput bola jika kurir ada kendala pickup.. kalau tun... ",4,positif
137,sudah diterima dengan selamat. tenkyu,4,positif
138,Bagus sesuai tapi pengiriman lama banget.,4,positif
139,"pengiriman cepat, PENGEMASAN BURUK POOOL.",4,positif
140,"barang bagus, sesuai pesanan, tpi pengiriman lama tidak sesuai / melebihi estimasi pesanan. itu saja makasih",4,positif
141,"paket udh diterima,alhamdulilah",4,positif
142,best prize best choice no cacat process officials store luambatttt polllll,4,positif
143,"Tolong perhatikan pelayananan kurir, terutama dari perusahaan jasanya. Kata kurir, yang memutuskan pengiriman sampai / tidak itu tergantung perusahaan jasa kurir tersebut... ",4,positif
144,Barang original resmi. Tapi sangat kecewa dengan pengirimannya sangat lama. Pesan hari jumâ€™at di kirim hari selasa. Packing sangat simple ga safety,4,positif
145,"Product sesuai, lebih mantab lagi bonus sd card",4,positif
146,Barangnya original ğŸ‘ Kemasan disegel Ada garansi resmi Warna sesuai pesanan Barangnya mulus Packaging rapi Packaging aman ğŸ™,4,positif
147,Pengiriman langsung sampai dan cepat hanya belum dibuka,4,positif
148,"Produk oke . Di terima gaada cacat sama sekali.Pokoknya mantap.Ga ragu deh . Semoga si awet tahan lama. Cuma 1 kurangnya Dr toko ini , slow respon sangat. Nanya kapan.... ",4,positif
149,barang bagus aman....cm proses verivikasi agak lama..,4,positif
150,"barang sesuai, bagus, masih segel, sayang pengirimannya lama sampai 4 hari baru sampai, padahal masih 1 provinsi dan sudah pilih ekspedisi yang 1 hari sampai",4,positif
151,"pengiriman cepat, HP ori, tapi sayang cepat panas",4,positif
152,"semuanya okelah, fast respon, chat ok, barang bagus dll, ...cuman kurirnya aja yg agak lama ...",4,positif
153,Memang cuma Infinix yg bener2 Pawang nya Gelio G Prosesor. Maen game di hape ini sering ngelag dropd FPS nya. Layarnya agak kecil krn memang sy biasa pake layar minimal 6... ,4,positif
154,"Barang ori,respon cepat, minus di pengiriman saja delay",4,positif
155,"Barang mantap, seller responsif, masalah di kurir aja karena gak tepat waktu",4,positif
156,Barang bagus .. ORI ... packing aman.. kurir baik dan cepat 1 hari sampai Lagi di setel,4,positif
157,"Barang ori,respon cepat, minus di pengiriman saja delay",4,positif
158,"Barang mantap, seller responsif, masalah di kurir aja karena gak tepat waktu",4,positif
159,Barang bagus .. ORI ... packing aman.. kurir baik dan cepat 1 hari sampai Lagi di setel,4,positif
160,,4,positif
161,kadang kamera tiba-tiba error,3,netral
162,"Barang bagus dan berfungsi baik, ttp respon admin utk mengirim barangnya lambat.",3,netral
163,pengirimanya lama,3,netral
164,"pengirimannya tiba di hari terakhir estimasi, sempat khawatir, namun akhirnya datang juga",3,netral
165,"Tidak bisa pakai TF card , kalo masuk TF card gak bisa operasi , Hang display. sdh coba ganti 3 TF card yg berbeda.",3,netral
166,Pengiriman lama. Hampir 1 minggu baru sampai,3,netral
167,Pengiriman barang memakai jasa pengiriman yg lambat. Jakarta - Bandung 4 hr,3,netral
168,Packing kurang aman,3,netral
169,"produknya ori, tp speaker nya bermasalah nih. bs retur ga ya",3,netral
170,hp bagus.. yg kurang cuma pelayanan dr admin nya. seperti chat sma robot. admin jg slow respon banget. smoga bisa ditingkatkan,3,netral
171,"pelayanan kurang bagus, pengiriman tidak sesuai dengan yang diharapkan",2,negatif
172,"tidak ramah, dikirim ke Sumatera Selatan tapi buble wrap tipis banget hasilnya dus hp pada penyok, Untung hp nya ngga kenapaÂ²",2,negatif
173,,2,negatif
174,baru pertama kali beli hp online eh yang didapat unit cacat. pergi ke tempat service katanya software nya bermasalah mau gamau harus bayar lagi buat service. hadeh kapok... ,1,negatif
175,"saya sangat menyesal membeli produk ini, karena UI sering ada ilkan, dan asuransi saya tidak bisa diklaim",1,negatif
176,"Pengiriman sangat lama..... komplen tidak di follow up dengan baik, kayak ngobrol ama robot. malah kita yang disuruh cek ke tokopedia. ahirnya bener sih, saya juga yang c... ",1,negatif
177,"barang nya oke, bubble lumayan tebel. TAPIIII.......nyesel banget nyobain SAMEDAY dari PAXEL , hargonya sehari sampai buktinya di pesen tgl 16 malam hari, nyampe nya tang... ",1,negatif
178,,1,negatif
179,"mantap, terima kasih! ğŸ‘ğŸ½",5,positif
180,barang sesuai deskripsi. lgsg dipakai anak. mantaplah buat mereka. thanks,5,positif
181,"Barang sampai dengan aman, seller juga responsif ğŸ‘Œ soon semoga order lagi",5,positif
182,ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘,5,positif
183,barang sesuai diterima dengan baik.,5,positif
184,barang masih disegel dan diberi bubble wrap,5,positif
185,siiiiip ğŸ‘ğŸ‘,5,positif
186,Toppp Aman,5,positif
187,sudah sampai barangnya walau ada trouble sedikit dalam pengiriman,5,positif
188,mantapp,5,positif
189,"proses & pengiriman cepat, terimakasih ğŸ«¡",5,positif
190,"Barang datang dengan Keadaan baik, proses pengiriman cepat, bagus mantap. Xiaomi semoga awettttt",5,positif
191,realpik banget masih segel. Terimakasih Xiomi.,5,positif
192,Produk mendarat dengan baik,5,positif
193,Semoga awet,5,positif
194,barang kondisi bagus...masih tersegel rapi.. respon cs bagus...,5,positif
195,"barang ok,segel aman packing rapih",5,positif
196,"Barang msh disegel, kualitas bagus, ORI...",5,positif
197,"hp ny sesuai pesanan , pengiriman cpet dan playanan oke juga .makasii xiaomi official",5,positif
198,sesuai dengan harga,5,positif
199,"barang masih di segel, seller ramaah, barang ori asli dan canggih",5,positif
200,"barangnya bagus, aman, dan berfungsi dengan baik terimakasih seller recommended belanja di sini untuk beli hp datangnya juga cepat. barang berkualitas harga terjangkau... ",5,positif
201,original dan segel terimakasih,5,positif
202,mantab,5,positif
203,nyampe tepat waktu barang bagus masih disegel. te o pe lah. terimakasih,5,positif
204,"Barang segel, bagus, sesuai deskripsi, butuh tambahan micro SD aja sih",5,positif
205,"Barang masih segel, bagus, sesuai deskripsi",5,positif
206,sesuai harga,5,positif
207,â”ˆâ”‰â”‰â”‰â”â”â” âï·½â â”â”â”â”‰â”‰â”‰â”ˆ,5,positif
208,alhamdulillah sesuai dan pengirimannya cepat walau pakai kurir recomend.si cepat.mksh xiaomiğŸ‘,5,positif
209,"barang masih disegel, baru dibuka dan cek layar, karena buat hadiah ke orang. semoga awet ya",5,positif
210,top,5,positif
211,"respon penjual cepat, proses pesan cepat, barang diterima bagus sesuai dengan pesanan, paking rapi dan aman, sampai saat ini barang bagus dan tidak ada kendala",5,positif
212,"Keterlaluan sih pakingnya, hp sekecil ini d paking d dus gede trus isinya burblewrap smua. mantap sih biar aman barangnya. makasih tokped.",5,positif
213,"barangnya hilang di ekspedisi, namun seller bertanggung jawab, klaim saya ditindak lanjuti, saya akan coba beli lagi setelah dana saya dikembalikan beserta dan asuransi y... ",5,positif
214,barang diterima sesuai pesanan,5,positif
215,Nice.. Xiaomi official store fast respon and fast delivery.tks,5,positif
216,"pengiriman cepat, barang sesuai, goodjob",5,positif
217,produk berkualitas tinggi dan sangat bermanfaat buat kehidupan tq,5,positif
218,mantap,5,positif
219,"segel aman , cuman pengiriman nya lama banget",4,positif
220,hmmmmm,4,positif
221,"ga se wow yg ku bayangkan karna pas dipake isi dalemnya display dll jelas beda sama yg smartphone sekelas keliatan jadul, untuk expand ram juga butuh memory card yah baru... ",4,positif
222,Normal office for that price,4,positif
223,barang sesuai pesanan,4,positif
224,Bagus untuk harga segini,4,positif
225,"Alhamdulillah barang nya cepet sampai,packing rapi bagus,ini barang pesenan orang lain. mf ga bisa kirimin Poto nyaa,karna langsung di kasihin, lupa di Poto in",4,positif
226,nggak dapat casing,4,positif
227,barang oke. sesuai dengan harga yang relatif murah,4,positif
228,bagus,4,positif
229,"Alhamdulillah sudah sampai,terima kasih xioami sudah mengeluarkan HP ramah dikantong,kebetulan hp Ayah rusak,jd jodoh disini.",4,positif
230,pengiriman barang agak telat bossku,4,positif
231,Kemasannya harusnya lebih baik lagi.,4,positif
232,pelayanan ramah dan cepat,4,positif
233,,4,positif
234,beli di official store berharap pelayanan prima.. tp zonk.. di janjiin kirim sabtu tapi baru diproses kirim senin.. uda gitu kurirnya juga lama bet ğŸ¥ºğŸ¥º,3,netral
235,"Respon seller dan barang ok, rekomended. Tapi jangan pake kurir SI CEPAT deh, ga rekomendasi banget, pengiriman lewat 2 hari dari estimasi sampai, journey trackingnya jug... ",3,netral
236,respon kurang,3,netral
237,"barangğŸ‘, kurir ğŸ‘ untuk wilayah Kab. Tanah Bumbu, kalse kalau bisa jangan gunakan si Cepat, kurirnya geselin, keterangan di aplikasi paketnya sudah kuterima, tapi paketn... ",3,netral
238,"proses dr Xiaomi ke ekspedisinya lama, untuk hpnya bagus untuk harga 1 jutaan",3,netral
239,Sedikit kecewa dg pengirimannya yg lama secaraaaa ini official gt kanâ€¦..barangnya udah sampe tp blm sy cek krn baru mau balik jlt dr luar kota dan sudah info ke adminnya... ,3,netral
240,pengiriman lama,3,netral
241,hpnya lemot pollll,2,negatif
242,Adminnya tidak ramah dan slow respon,2,negatif
243,"Kurir rekomendasi, masa gatau alamat diem2 aj, nggak ada inisiatif chat atau apa, respon penjual bagus",2,negatif
244,"sayang banget nggak bisa dipake buat aplikasi grab driver gara gara tidak bisa menampilkan aplikasi diatas aplikasi lain, selain itu pelayanan kurang ramah, jawab singkat... ",2,negatif
245,korupsi ongkir,2,negatif
246,,2,negatif
247,pengiriman nya,1,negatif
248,salah ukuran kasihnya padahal sudah dikonfirmasi di chat..,1,negatif
249,paket belum diterima liat dilacak ehh stack di sortir pengirimann ditanya baikÂ² malah suruh komplain dengan entengnya mana komplainnya dah seminggu lebihh sesuai klaim be... ,1,negatif
250,pengirimanya lelet/ lambat payah,1,negatif
251,,1,negatif
252,,1,negatif
253,"Barang original resmi, respon cepat, pengiriman mantab, sesuai pemesanan, mantab pokoknya âœŒ",5,positif
254,"barang masih disegel dengan baik, handphonenya pun masih baru, kemasannya juga gak ada rusak, handphone nya menyala dengan baik, pokoknya mantap",5,positif
255,Ok,5,positif
256,"Barangnya sesuai pesanan. Mudah2an awet. Packing oke, pengiriman lumayan cepat. Thanks",5,positif
257,"Alhamdulillah paket sampai dengan selamat. keadaan aman, kardus penyok sedikit tapi nggak apa2. Pake pengiriman sameday, mesan jam 12 nyampe jam 8 malam ğŸ¥° HP yang udah d... ",5,positif
258,"packing nya aman dan rapi, semua fitur berfungsi dengan baik ğŸ‘",5,positif
259,"barang sampai dengan kondisi baik, fitur fast chragingnya cepat dlm mengisi baterai",5,positif
260,ğŸ‘ğŸ‘,5,positif
261,Mantap,5,positif
262,cs na slow respon ğŸ‘Œ,5,positif
263,good,5,positif
264,"kedua kali beli smartphone disini, dari 2017 memang favorit banget pake xiaomi dari redmi note 7,redmi note 8, redmi note 10 5G, ini yg terbaru redmi note 12pro 5G. I LO... ",5,positif
265,dr taun 2020 akhirnya upgrade note 9 pro to note 12 pro,5,positif
266,top banget barang original segel garansi ok paking bagus Aman gak kecewa pokok nya,5,positif
267,Xiaomi mantap poll,5,positif
268,barangnya sagat memuaskan.. walau pun pengiriman agak telat,5,positif
269,Official store emg terpercaya.. good recomended seller. puasa banget sama barangnya,5,positif
270,oke..,5,positif
271,"bagus, segel aman, dan respon cepet",5,positif
272,"Barang original, sesuai dengan description. Barang asli. Segel kotak bagus. Kekurangan: pengiriman ditinggal di depan pintu, tanpa bel dan telepon, untung tidak hilang, h... ",5,positif
273,"pengiriman lumayan lama, respon penjual sangat baik dan cepat, kemasan produk aman dan rapi. berfungsi dengan baik.",5,positif
274,"Packing aman, semua fitur bkerja dengan baik, sesuai ekpektasi brngnya, bagus sekali. Terima kasih gan atas produk dan pelayanannya",5,positif
